brand,name,weight,price
FREMONT FISH MARKET,"Wild Caught Frozen Pink Salmon, 16 oz",16 oz,$8.45
FREMONT FISH MARKET,"Medium Cooked in Shell Shrimp, 12 oz",12 oz,$6.49
FREMONT FISH MARKET,"Large Cooked Shrimp, 12 oz",12 oz,$7.39
FREMONT FISH MARKET,"Value Pack Cod Fillets, 32 oz",32 oz,$14.29
FREMONT FISH MARKET,"Flounder Fillets, 16 oz",16 oz,$6.59
SEASON'S CHOICE,"Steamable Frozen Asparagus Spears, 8 oz",8 oz,$3.19
SUNDAE SHOPPE,"Mint Chocolate Chip Ice Cream, 48 fl oz",48 fl oz,$3.25
KIRKWOOD,"Chicken Breast Nuggets, 29 oz",29 oz,$5.89
SEASON'S CHOICE,"Frozen Steam Cut Green Beans, 12 oz",12 oz,$1.09
SEASON'S CHOICE,"Steamable Frozen Mixed Vegetable, 12 oz",12 oz,$1.09
SEASON'S CHOICE,"Steamable Frozen Sweet Garden Peas, 12 oz",12 oz,$1.09
FREMONT FISH MARKET,"Jumbo EZ Peel Raw Shrimp, 12 oz",12 oz,$7.25
FREMONT FISH MARKET,"Jumbo Cooked Shrimp, 12 oz",12 oz,$7.69
FREMONT FISH MARKET,"Beer Battered Cod Fillets, 13.1 oz",13.1 oz,$4.69
KIRKWOOD,"Chicken Fries, 24 oz",24 oz,$5.19
KIRKWOOD,"Buffalo Crispy Chicken Strips, 25 oz",25 oz,$7.15
FREMONT FISH MARKET,"Jumbo Breaded Butterfly Shrimp, 9 oz",9 oz,$3.85
SEASON'S CHOICE,"Frozen Plain Riced Cauliflower, 12 oz",12 oz,$1.89
BELMONT,"Turtle Cheesecake Twin Pack, 6 oz",6 oz,$1.99
WHOLE & SIMPLE,"Southwest Chicken Quinoa Bowl, 10.5 oz",10.5 oz,$4.05
WHOLE & SIMPLE,"Mediterranean Chicken Quinoa Bowl, 10.5 oz",10.5 oz,$4.05
BELMONT,"New York Cheesecake Twin Pack, 6 oz",6 oz,$1.99
SUNDAE SHOPPE,"Vanilla Ice Cream, 1 gal",128 fl oz,$7.15
EARTH GROWN,"Vegan Zesty Italian Meatless Meatballs, 16 oz",16 oz,$5.69
BREAKFAST BEST,"Sausage, Egg and Cheese Biscuit Sandwiches, 4 count",18 oz,$4.75
NATURE'S NECTAR,"100% Orange Juice Concentrate, 12 oz",12 oz,$3.45
BREMER,"Alfredo Chicken Skillet, 21 oz",21 oz,$4.65
SPECIALLY SELECTED,"Mussels in Garlic Butter Sauce, 16 oz",16 oz,$3.55
SPECIALLY SELECTED,"Mussels in Tomato Garlic Sauce, 16 oz",16 oz,$3.55
SEASON'S CHOICE,"Frozen Blueberries, 24 oz",24 oz,$4.65
FREMONT FISH MARKET,"Value Pack Wild Caught Pink Salmon, 32 oz",32 oz,$11.39
FUSIA ASIAN INSPIRATIONS,"General Tso's Chicken, 26 oz",26 oz,$8.05
BREAKFAST BEST,"Canadian Bacon, Egg and Cheese Muffin Sandwiches, 4 count",18 oz,$4.75
BREAKFAST BEST,"Meat Lovers Breakfast Bowl, 7 oz",7 oz,$1.65
SEASON'S CHOICE,"Garlic Riced Cauliflower, 12 oz",12 oz,$1.89
FREMONT FISH MARKET,"Jumbo Coconut Breaded Butterfly Shrimp, 9 oz",9 oz,$3.85
FREMONT FISH MARKET,"Medium EZ Peel Raw Shrimp, 12 oz",12 oz,$6.79
SEASON'S CHOICE,"Frozen Shredded Hash Browns, 30 oz",30 oz,$4.09
SEASON'S CHOICE,"Steamable Frozen Brussels Sprouts, 12 oz",12 oz,$1.55
CASA MAMITA,"Bean and Cheese Burritos, 8 count",32 oz,$4.19
FUSIA ASIAN INSPIRATIONS,"Asian Inspirations Chicken Lo Mein, 20 oz",20 oz,$6.29
BREAKFAST BEST,"Sausage, Egg and Cheese Croissant Breakfast Sandwich, 18 oz",18 oz,$6.29
FREMONT FISH MARKET,"Crunchy Fish Fillets, 19 oz",19 oz,$5.79
FREMONT FISH MARKET,"Wild Caught Breaded Fish Sticks, 24 oz",24 oz,$5.79
SUNDAE SHOPPE,"Moose Tracks Ice Cream, 48 oz",48 fl oz,$3.25
BREAKFAST BEST,"Pre-Cooked Original Sausage Patties, 32 oz",32 oz,$8.79
SEASON'S CHOICE,"Seasoned French Fries, 32 oz",32 oz,$3.19
MAMA COZZI'S PIZZA KITCHEN,"French Bread Pepperoni Pizza, 2 count",11.25 oz,$2.99
KIRKWOOD,"Grilled Chicken Breast Strips, 22 oz",22 oz,$8.25
KIRKWOOD,"Breaded Chicken Fillets, 24 oz",24 oz,$8.25
SUNDAE SHOPPE,"Strawberry Ice Cream, 48 oz",48 fl oz,$3.25
KIRKWOOD,"Crispy Chicken Strips, 25 oz",25 oz,$7.69
,"85/15 Ground Beef Patties, 3 lb",3 lb,$15.29
KIRKWOOD,"Frozen Ground Turkey, 16 oz",16 oz,$2.19
FUSIA ASIAN INSPIRATIONS,"Asian Inspired Mandarin Orange Chicken, 26 oz",26 oz,$8.05
BREMER,"Frozen Chicken Pot Pie, 7 oz",7 oz,$1.09
KIRKWOOD,"Frozen Chicken Tenderloins, 40 oz",40 oz,$8.05
KIRKWOOD,"Frozen Chicken Wings, 64 oz",64 oz,$13.19
CATTLEMEN'S RANCH,"Bacon Cheddar Beef Burger Patties, 2 lb",2 lb,$9.89
SEA QUEEN,"Medium Cooked Shrimp, 12 oz",12 oz,$5.49
FREMONT FISH MARKET,"Wild Caught Frozen Pink Salmon, 16 oz",16 oz,$8.45
FREMONT FISH MARKET,"Medium Cooked in Shell Shrimp, 12 oz",12 oz,$6.49
