brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
L'OVEN FRESH,"Cinnamon Raisin Bagels, 6 count",20 oz,$1.89,1568.271492021277,54.28632087765959,566.9904625000001
BAKE SHOP,"Raspberry Strip Danish, 14 oz",14 oz,$3.39,1190.67997125,15.875732950000002,396.89332375000004
L'OVEN FRESH,"Pre Sliced Hot Dog Buns, 8 count",12 oz,$1.55,870.2644308139536,31.645979302325586,340.19427750000006
PUEBLO LINDO,"Casera Amarillas Tostadas, 12.8 oz",12.8 oz,$2.19,1759.388586666667,21.992357333333338,362.87389600000006
PUEBLO LINDO,"Flour Tortillas, 17.5 oz",17.5 oz,$2.15,1433.2258913194446,44.09925819444445,496.1166546875001
PUEBLO LINDO,"Fajita Flour Tortillas, 20 count",23 oz,$2.39,1762.2676537162165,52.86802961148649,652.0390318750001
BAKE SHOP,"Chocolate Chunk Cookies, 14 oz",14 oz,$4.29,1730.0478214743591,20.353503782051284,396.89332375000004
SIMPLY NATURE,"Low Sodium Sprouted 7 Grain Bread, 16 oz",,$3.65,0.0,0.0,0.0
L'OVEN FRESH,"Blueberry Bagels, 20 oz",20 oz,$1.89,1671.1297842105266,53.71488592105264,566.9904625000001
SPECIALLY SELECTED,"Italian Bread Loaf, 16 oz",16 oz,$4.39,1114.0865228070177,31.831043508771934,453.5923700000001
L'OVEN FRESH,"Artisanal Bread, 20 oz",20 oz,$3.15,1521.1939237804881,41.48710701219513,566.9904625000001
MAMA COZZI'S PIZZA KITCHEN,"Ready to Bake Pizza Dough, 16 oz",16 oz,$1.35,954.931305263158,39.788804385964916,453.5923700000001
SPECIALLY SELECTED,"Brioche Hot Dog Buns, 9.52 oz",9.52 oz,$3.65,899.6248671666668,23.98999645777778,269.88746015000004
SPECIALLY SELECTED,"Original Naan Bread, 17.6 oz",17.6 oz,$5.49,1504.7746877777781,39.5993338888889,498.95160700000014
BAKE SHOP,"Banana Nut Muffins, 4 count",14.1 oz,$4.29,1439.0217938250003,19.986413803125004,399.7282760625001
BAKE SHOP,"Cheese Strip Danish, 14 oz",14 oz,$3.39,1486.9524523591551,31.86326683626761,396.89332375000004
SPECIALLY SELECTED,"Mini Naan Bread, 12.7 oz",12.7 oz,$5.25,1120.1211581388889,40.00432707638889,360.0389436875
SPECIALLY SELECTED,"Plain Sliced Brioche Loaf, 17.6 oz",17.6 oz,$5.45,1614.2551991176476,44.02514179411766,498.95160700000014
L'OVEN FRESH,"100% Whole Wheat Sandwich Skinnys, 12 oz",12 oz,$2.19,712.0345343023257,31.645979302325586,340.19427750000006
L'OVEN FRESH,"Multigrain Sandwich Skinnys, 12 oz",12 oz,$2.19,791.1494825581397,31.645979302325586,340.19427750000006
BAKE SHOP,"Chocolate Chip Mini Muffins, 12 oz",12 oz,$3.65,1520.8685347058827,16.009142470588237,340.19427750000006
L'OVEN FRESH,"Pre Sliced Hamburger Buns, 8 count",12 oz,$1.55,870.2644308139536,31.645979302325586,340.19427750000006
L'OVEN FRESH,"Plain Mini Bagels, 18 oz",18 oz,$3.95,1424.0690686046516,47.468968953488385,510.2914162500001
BAKE SHOP,"Oatmeal Cranberry Cookies, 14 oz",14 oz,$4.29,1628.2803025641028,20.353503782051284,396.89332375000004
L'OVEN FRESH,"Split Top Wheat Bread, 20 oz",20 oz,$1.29,1417.4761562500003,40.49931875000001,566.9904625000001
L'OVEN FRESH,"Pre-sliced Plain Bagels, 6 count",20 oz,$1.89,1492.0801644736846,53.71488592105264,566.9904625000001
L'OVEN FRESH,"Plain English Muffins, 6 count",12 oz,$1.75,716.1984789473686,23.873282631578952,340.19427750000006
SPECIALLY SELECTED,"Vanilla Cream Brioche, 14.11 oz",14.11 oz,$5.45,1200.0353138812502,28.572269378125004,400.01177129375003
L'OVEN FRESH,"Pre-Sliced Everything Bagels, 6 count",20 oz,$1.89,1671.1297842105266,53.71488592105264,566.9904625000001
L'OVEN FRESH,"Parmesan Romano Garlic Bread, 10 oz",10 oz,$3.65,994.7201096491231,24.868002741228075,283.4952312500001
