brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
PARK STREET DELI,"Roasted Red Pepper Topped Hummus, 10 oz",10 oz,$2.85,457.25037298387105,18.290014919354842,283.4952312500001
PARK STREET DELI,"Spicy Hummus, 10 oz",10 oz,$2.85,457.25037298387105,18.290014919354842,283.4952312500001
PARK STREET DELI,"Olive Tapenade Hummus, 10 oz",10 oz,$2.85,708.7380781250001,20.249659375000004,283.4952312500001
PARK STREET DELI,"Spinach Parmesan Tzatziki Dip, 10 oz",10 oz,$3.29,404.9931875000001,20.249659375000004,283.4952312500001
PARK STREET DELI,"Cucumber Dill Tzatziki Dip, 10 oz",10 oz,$3.29,377.9936416666668,9.44984104166667,283.4952312500001
PARK STREET DELI,"Classic Hummus Single Serve Mini Cups, 6 pack",12 oz,$4.95,835.5648921052633,23.873282631578952,340.19427750000006
PARKVIEW,"Uncured Beef Franks, 15 oz",15 oz,$4.19,1083.952354779412,33.35238014705883,425.24284687500005
PARK STREET DELI,"Classic Single Guacamole - 6 Mini Cups, 12 oz",12 oz,$4.59,537.1488592105264,5.968320657894738,340.19427750000006
PARK STREET DELI,"Red Pepper Hummus Single Serve Mini Cups, 6 count",12 oz,$4.95,596.8320657894739,17.904961973684216,340.19427750000006
PARK STREET DELI,"Cranberry Almond Chicken Salad Mini Cups, 4 pack",12 oz,$5.49,1000.5714044117649,28.015999323529414,340.19427750000006
PARK STREET DELI,"Cranberry Almond Chicken Salad, 16 oz",16 oz,$6.05,1334.0952058823532,37.35466576470589,453.5923700000001
PARK STREET DELI,"Jubilee Assortment Olives, 7 oz",7 oz,$3.09,637.8642703125,0.0,198.44666187500002
LUNCH MATE,"Family Size Smoked Ham, 16 oz",16 oz,$5.85,566.9904625,80.9986375,453.5923700000001
LUNCH MATE,"Honey Ham, 16 oz",16 oz,$5.85,485.99182500000006,80.9986375,453.5923700000001
LUNCH MATE,"Family Size Roast Beef, 14 oz",14 oz,$5.85,425.242846875,70.8738078125,396.89332375000004
LUNCH MATE,"Family Size Rotisserie Chicken Breast, 1 lb",16 oz,$5.85,566.9904625,89.09850125000001,453.5923700000001
LUNCH MATE,"Family Size Lower Sodium Smoked Honey Ham in Lunch Meat Tub, 15 oz",15 oz,$5.85,455.61733593750006,75.93622265625001,425.24284687500005
PRIANO,"Herb Chicken Tortelloni, 20 oz",20 oz,$6.45,1340.1592750000004,61.85350500000002,566.9904625000001
PARK STREET DELI,"Classic Chicken Salad, 16 oz",16 oz,$6.05,1316.8810741935486,39.01869849462366,453.5923700000001
PARK STREET DELI,"Classic Hummus, 10 oz",10 oz,$2.85,607.4897812500001,20.249659375000004,283.4952312500001
PARK STREET DELI,"Garlic Topped Hummus, 10 oz",10 oz,$2.85,457.25037298387105,18.290014919354842,283.4952312500001
APPLETON FARMS,"Prosciutto, 4 oz",4 oz,$4.39,242.99591250000003,28.349523125000005,113.39809250000002
SIMMS,"Sliced Hard Salami, 16 oz",16 oz,$5.29,1781.970025,97.19836500000001,453.5923700000001
SIMPLY NATURE,"Organic Red Pepper Hummus, 8 oz",8 oz,$2.85,566.9904625,16.1997275,226.79618500000004
