brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
SIMPLY NATURE,"Organic Unrefined Coconut Oil, 14 fl oz",14 oz,$5.05,3401.942775,0.0,396.89332375000004
FRIENDLY FARMS,"Nonfat Plain Greek Yogurt, 32 oz",32 oz,$3.55,480.27427411764717,85.3820931764706,907.1847400000001
PARK STREET DELI,"Roasted Red Pepper Topped Hummus, 10 oz",10 oz,$2.85,457.25037298387105,18.290014919354842,283.4952312500001
FREMONT FISH MARKET,"Medium Cooked in Shell Shrimp, 12 oz",12 oz,$6.49,320.1828494117648,76.04342673529413,340.19427750000006
FREMONT FISH MARKET,"Large Cooked Shrimp, 12 oz",12 oz,$7.39,301.0568827433629,57.200807721238945,340.19427750000006
PARK STREET DELI,"Spicy Hummus, 10 oz",10 oz,$2.85,457.25037298387105,18.290014919354842,283.4952312500001
PARK STREET DELI,"Olive Tapenade Hummus, 10 oz",10 oz,$2.85,708.7380781250001,20.249659375000004,283.4952312500001
SIMPLY NATURE,"Organic Low Sodium Chicken Broth, 32 oz",32 oz,$2.15,18.51397428571429,3.702794857142858,907.1847400000001
FREMONT FISH MARKET,"Jumbo Cooked Shrimp, 12 oz",12 oz,$7.69,320.1828494117648,72.04114111764707,340.19427750000006
FIT & ACTIVE,"Vitality Cereal Vanilla Almond, 12.4 oz",12.4 oz,$2.99,1288.9583180833338,23.43560578333334,351.5340867500001
SIMPLY NATURE,"Organic Blue Corn Tortilla Chips, 8.25 oz",8.25 oz,$2.45,1169.4178289062502,16.705968984375,233.88356578125004
PARK STREET DELI,"Mild Fresh Cut Salsa, 16 oz",16 oz,$2.75,78.20558103448276,0.0,453.5923700000001
PARK STREET DELI,"Medium Fresh Cut Salsa, 16 oz",16 oz,$2.75,,,
SIMPLY NATURE,"Low Sodium Sprouted 7 Grain Bread, 16 oz",,$3.65,0.0,0.0,0.0
PUEBLO LINDO,"Dry Black Beans, 32 oz",32 oz,$2.99,2073.56512,207.35651200000004,907.1847400000001
SIMPLY NATURE,"Organic Multigrain Tortilla Chips, 8.25 oz",8.25 oz,$2.45,1169.4178289062502,16.705968984375,233.88356578125004
SIMPLY NATURE,"Organic Oats and Flax Instant Oatmeal Packets, 8 count",11.29 oz,$2.75,1200.2479353046874,32.006611608125,320.06611608125
LUNCH MATE,"Family Size Lower Sodium Smoked Honey Ham in Lunch Meat Tub, 15 oz",15 oz,$5.85,455.61733593750006,75.93622265625001,425.24284687500005
MILLVILLE,"Quick Oats, 42 oz",42 oz,$4.39,4465.0498921875005,148.83499640625,1190.67997125
PARK STREET DELI,"Classic Hummus, 10 oz",10 oz,$2.85,607.4897812500001,20.249659375000004,283.4952312500001
PARK STREET DELI,"Garlic Topped Hummus, 10 oz",10 oz,$2.85,457.25037298387105,18.290014919354842,283.4952312500001
SIMPLY NATURE,"Organic Pumpkin Seed & Flax Granola Cereal, 11.5 oz",11.5 oz,$2.65,1363.354339375,29.638137812500002,326.01951593750005
SOUTHERN GROVE,"Shelled Walnuts, 16 oz",16 oz,$6.49,2915.9509500000004,64.79891,453.5923700000001
SEASON'S CHOICE,"Frozen Plain Riced Cauliflower, 12 oz",12 oz,$1.89,80.0457123529412,4.002285617647059,340.19427750000006
SIMPLY NATURE,"Organic Peppered Beef Jerky, 2.5 oz",2.85 oz,$3.55,230.84611687500004,25.970188148437504,80.79614090625002
EMPORIUM SELECTION,"Traditional Feta Cheese Block, 8 oz",8 oz,$3.65,485.99182500000006,40.49931875,226.79618500000004
WHOLE & SIMPLE,"Southwest Chicken Quinoa Bowl, 10.5 oz",10.5 oz,$4.05,319.64562986577187,15.982281493288593,297.6699928125
WHOLE & SIMPLE,"Mediterranean Chicken Quinoa Bowl, 10.5 oz",10.5 oz,$4.05,329.63455579907725,16.98117408661913,297.6699928125
SIMPLY NATURE,"Organic 100% Antioxidant Power Juice, 33.8 fl oz",33.8 fl oz,$3.95,,,
SIMPLY NATURE,"Organic Coconut Chia Granola Cereal, 12.3 oz",12.3 oz,$2.65,1584.9960656250003,31.699921312500003,348.69913443750005
SIMPLY NATURE,"Organic Chopped Kale, 12 oz",12 oz,$3.29,160.0914247058824,16.009142470588237,340.19427750000006
SIMPLY NATURE,"Organic Original Unsweetened Almondmilk, 64 fl oz",64 fl oz,$3.75,,,
SIMPLY NATURE,"Chia Seeds, 12 oz",12 oz,$3.85,1700.9713875000002,68.03885550000001,340.19427750000006
SOUTHERN GROVE,"Deluxe Whole Cashews with Sea Salt, 30 oz",30 oz,$11.89,4819.418931250001,141.74761562500004,850.4856937500001
SIMPLY NATURE,"Brown Whole Flax Seed, 16 oz",16 oz,$3.65,1965.5669366666668,120.95796533333335,453.5923700000001
ELEVATION,"Apple Pie Pure and Simple Fruit and Nut Bars, 5 count",5 ct,$5.05,4.444444444444445,0.08888888888888889,1.0
SIMPLY NATURE,"Organic Teriyaki Beef Jerky, 2.5 oz",2.85 oz,$3.55,230.84611687500004,28.855764609375004,80.79614090625002
SIMPLY NATURE,"Raw Cashews, Walnuts and Macadamia Nuts, 8 oz",8 oz,$4.39,1457.9754750000002,32.399455,226.79618500000004
SOUTHERN GROVE,"Pistachios in Shell, 1 lb",16 oz,$6.05,2570.3567633333337,90.71847400000001,453.5923700000001
SEASON'S CHOICE,"Garlic Riced Cauliflower, 12 oz",12 oz,$1.89,80.0457123529412,4.002285617647059,340.19427750000006
FIT & ACTIVE,"Vitality Cereal with Red Berries, 11.2 oz",11.2 oz,$2.99,1126.6649190322582,20.48481670967742,317.51465900000005
SIMPLY NATURE,"Original Organic Soymilk, 64 fl oz",64 fl oz,$3.29,,,
MILLVILLE,"Oats 'n Honey Protein Crunchy Granola, 11 oz",11 oz,$2.75,1190.67997125,56.69904625000001,311.84475437500004
ELEVATION,"Peanut Butter Cookie Pure and Simple Fruit and Nut Bars, 5 count",5 ct,$5.05,4.375,0.14583333333333331,1.0
SIMPLY NATURE,"Brown Milled Flax Seed, 16 oz",16 oz,$3.65,2267.96185,90.71847400000001,453.5923700000001
MILLVILLE,"Oats 'n Dark Chocolate Protein Crunchy Granola, 11 oz",11 oz,$2.75,1247.3790175000001,56.69904625000001,311.84475437500004
MILLVILLE,"Cranberries and Almonds Protein Crunchy Granola, 11 oz",11 oz,$2.75,1247.3790175000001,56.69904625000001,311.84475437500004
SOUTHERN GROVE,"Dried Cranberries, 6 oz",6 oz,$2.05,595.339985625,0.0,170.09713875000003
LIVEGFREE,"Gluten Free Pancake and Baking Mix, 16 oz",16 oz,$3.25,1587.5732950000001,22.679618500000004,453.5923700000001
SIMPLY NATURE,"Organic Apple Cinnamon Instant Oatmeal Packets, 8 count",11.29 oz,$2.75,1200.2479353046874,32.006611608125,320.06611608125
LUNCH MATE,"Family Size Low Sodium Oven Roasted Turkey, 15 oz",15 oz,$5.85,455.61733593750006,68.34260039062501,425.24284687500005
SIMPLY NATURE,"Organic Sea Salt Popcorn, 6 oz",6 oz,$3.65,789.7367156250001,18.2246934375,170.09713875000003
PARK STREET DELI,"Pine Nut Hummus, 10 oz",10 oz,$2.85,607.4897812500001,20.249659375000004,283.4952312500001
SPECIALLY SELECTED,"Kalamata Pitted Olives, 6 oz",6 oz,$2.19,396.89332375000004,0.0,170.09713875000003
SIMPLY NATURE,"Organic Grass Fed 85% Lean Ground Beef, 1 lb",1 lb,$5.49,971.9836500000001,85.04856937500001,453.5923700000001
EARTHLY GRAINS,"Instant White Rice, 28 oz",28 oz,$2.85,2933.559349456522,69.02492586956522,793.7866475000001
FRIENDLY FARMS,"Low Fat Small Curd Cottage Cheese, 24 oz",24 oz,$3.09,712.7880100000001,84.23858300000002,680.3885550000001
SOUTHERN GROVE,"Sliced Almonds, 6 oz",6 oz,$2.85,,,
SOUTHERN GROVE,"Slivered Almonds, 6 oz",6 oz,$2.85,,,
PURAQUA,"Purified Water - 24 pack, 16.9 fl oz Bottles",24 x 16.9 fl oz,$3.29,,,
PURAQUA,"Natural Spring Water - 24 pack, 16.9 fl oz Bottles",24 x 16.9 fl oz,$4.09,,,
BURMAN'S,"Soy Sauce, 15 fl oz",15 fl oz,$1.75,,,
SIMPLY NATURE,"Unsweetened Applesauce, 46 oz",46 oz,$3.45,718.7831847440946,0.0,1304.0780637500002
SIMPLY NATURE,"Organic Arugula and Spinach Mix, 5 oz",5 oz,$2.85,34.93779258362677,3.9928905809859168,141.74761562500004
FIT & ACTIVE,"Lightly Salted Rice Cakes, 4.9 oz",4.9 oz,$3.25,555.6506532500001,6.945633165625002,138.91266331250003
SIMPLY NATURE,"Organic Wildflower Honey, 12 oz",12 oz,$4.65,971.9836500000001,0.0,340.19427750000006
SIMPLY NATURE,"Sprouted 7 Grain Bread, 16 oz",16 oz,$3.65,971.9836500000001,48.599182500000005,453.5923700000001
LIVEGFREE,"Gluten Free Sweet Chili Brown Rice Crisps, 7 oz",7 oz,$3.29,992.2333093750001,14.1747615625,198.44666187500002
SPECIALLY SELECTED,"Wild Caught Ahi Tuna, 12 oz",12 oz,$5.05,391.3739475663717,87.30649599557523,340.19427750000006
SIMPLY NATURE,"Organic Fruit Snacks, 12 count",9.6 oz,$5.45,865.9490700000001,0.0,272.15542200000004
SIMPLY NATURE,"Organic Extra Virgin Olive Oil, 16.9 fl oz",19.9 fl oz,$7.99,,,
