brand,name,weight,latest_date,latest_price,median_price_30d,pct_diff_vs_30d_median,direction,reason
NATURE'S NECTAR,"Light Orange Juice Calcium & Vitamin D, 52 fl oz",52 fl oz,2025-11-19,4.19,4.39,-4.56,lower_vs_30d_median,model_30d_unique
NATURE'S NECTAR,"Light Orange Juice No Pulp, 52 fl oz",52 fl oz,2025-11-19,4.19,4.39,-4.56,lower_vs_30d_median,model_30d_unique
NATURE'S NECTAR,"Orange Juice Not From Concentrate, 52 fl oz",52 fl oz,2025-11-19,4.19,4.39,-4.56,lower_vs_30d_median,model_30d_unique
NATURE'S NECTAR,"Orange Juice with Pulp, 52 fl oz",52 fl oz,2025-11-19,4.19,4.39,-4.56,lower_vs_30d_median,model_30d_unique
NATURE'S NECTAR,"Pulp Free Orange Juice, 52 fl oz",52 fl oz,2025-11-19,4.19,4.39,-4.56,lower_vs_30d_median,model_30d_unique
NATURE'S NECTAR,"Sparkling Coconut Water & Pineapple, 12 fl oz",12 fl oz,2025-11-19,0.89,0.99,-10.1,lower_vs_30d_median,model_30d_unique
NATURE'S NECTAR,"Sparkling Coconut Water & Watermelon, 12 fl oz",12 fl oz,2025-11-19,0.89,0.99,-10.1,lower_vs_30d_median,model_30d_unique
NATURE'S NECTAR,"Sparkling Coconut Water, 12 fl oz",12 fl oz,2025-11-19,0.89,0.99,-10.1,lower_vs_30d_median,model_30d_unique
PARK STREET DELI,"Chocolate Chip Cannoli Dip, 10 oz",10 oz,2025-11-19,3.29,2.47,33.2,higher_vs_30d_median,median_diff_30pct
PARK STREET DELI,"Salted Caramel Cannoli Dip, 10 oz",10 oz,2025-11-19,3.29,2.47,33.2,higher_vs_30d_median,median_diff_30pct
STONEMILL,"Pure Vanilla Extract, 2 fl oz",2 fl oz,2025-11-19,4.29,4.75,-9.68,lower_vs_30d_median,model_30d_unique
(no brand),"5"" Foliage Plant - Assorted Varieties",1 ea,2025-10-29,3.49,5.24,-33.4,lower_vs_30d_median,median_diff_30pct
(no brand),"5"" Holiday Cactus, assorted colors",1 ea,2025-11-19,2.49,3.74,-33.42,lower_vs_30d_median,median_diff_30pct
(no brand),"6"" Marigolds - Assorted Color",1 ea,2025-10-22,2.99,4.49,-33.41,lower_vs_30d_median,median_diff_30pct
(no brand),"6"" Poinsettias - Assorted Color",1 ea,2025-11-11,0.99,2.49,-60.24,lower_vs_30d_median,median_diff_30pct
(no brand),"Autumn Crisp Grapes, 2 lb Bag",2 lb,2025-11-19,6.59,5.99,10.02,higher_vs_30d_median,model_30d_unique
(no brand),"Brussels Sprouts, 1 lb",1 lb,2025-11-19,1.99,3.19,-37.62,lower_vs_30d_median,model_30d_unique|median_diff_30pct
(no brand),"Cauliflower Crowns, each",1 each,2025-11-19,3.29,3.55,-7.32,lower_vs_30d_median,model_30d_unique
(no brand),"Cranberries, 12 oz",12 oz,2025-11-19,0.89,0.99,-10.1,lower_vs_30d_median,model_30d_unique
(no brand),"French Green Beans, 1 lb",1 lb,2025-11-19,2.39,3.19,-25.08,lower_vs_30d_median,model_30d_unique
(no brand),"Fresh Organic Strawberries, 1 lb",1 lb,2025-11-19,5.85,4.85,20.62,higher_vs_30d_median,model_30d_unique
(no brand),"Mini Cucumbers, 1 lb",1 lb,2025-11-19,2.09,1.89,10.58,higher_vs_30d_median,model_30d_unique
(no brand),"Organic Raspberries, 6 oz",6 oz,2025-11-19,4.29,3.85,11.43,higher_vs_30d_median,model_30d_unique
(no brand),Pelee Mums Plant - Assorted Color,1 ea,2025-10-29,4.49,6.74,-33.38,lower_vs_30d_median,median_diff_30pct
(no brand),"Strawberries, 1 lb",1 lb,2025-11-19,4.65,3.52,32.1,higher_vs_30d_median,median_diff_30pct
