brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
FRIENDLY FARMS,"Plain Whole Milk Greek Yogurt, 32 oz",32 oz,$4.15,907.1847400000001,85.3820931764706,907.1847400000001
FRIENDLY FARMS,"Nonfat Plain Greek Yogurt, 32 oz",32 oz,$3.55,480.27427411764717,85.3820931764706,907.1847400000001
FRIENDLY FARMS,"Nonfat Strawberry on the Bottom Greek Yogurt, 5.3 oz",5.3 oz,$2.85,110.18514654583335,11.018514654583335,150.25247256250003
FRIENDLY FARMS,"Nonfat Black Cherry on the Bottom Greek Yogurt, 5.3 oz",5.3 oz,$2.85,110.18514654583335,13.021880955416668,150.25247256250003
FRIENDLY FARMS,"Nonfat Raspberry on the Bottom Greek Yogurt, 5.3 oz",5.3 oz,$2.85,110.18514654583335,13.021880955416668,150.25247256250003
FRIENDLY FARMS,"Nonfat Blueberry on the Bottom Greek Yogurt, 5.3 oz",5.3 oz,$2.85,,,
FRIENDLY FARMS,"Nonfat Vanilla Yogurt, 32 oz",32 oz,$2.85,640.3656988235296,80.0457123529412,907.1847400000001
FRIENDLY FARMS,"Low-fat Strawberry Yogurt, 6 oz",6 oz,$0.65,160.0914247058824,5.002857022058825,170.09713875000003
FRIENDLY FARMS,"Nonfat Plain Yogurt, 32 oz",32 oz,$2.85,373.5466576470589,42.6910465882353,907.1847400000001
SIMPLY NATURE,"Organic Salted Butter, 16 oz",16 oz,$6.85,3239.9455000000003,0.0,453.5923700000001
EMPORIUM SELECTION,"Asiago Cheese Wedge, 8 oz",8 oz,$4.85,890.9850125,56.69904625000001,226.79618500000004
EMPORIUM SELECTION,"Traditional Feta Cheese Block, 8 oz",8 oz,$3.65,485.99182500000006,40.49931875,226.79618500000004
EMPORIUM SELECTION,"Specialty Shredded Gouda Cheese, 8 oz",8 oz,$2.99,809.9863750000001,56.69904625000001,226.79618500000004
SIMPLY NATURE,"Organic Whole Milk, 64 fl oz",64 fl oz,$4.29,,,
EMPORIUM SELECTION,"Fresh Mozzarella Pre-Sliced Log, 8 oz",8 oz,$2.99,566.9904625,40.49931875,226.79618500000004
GOLDHEN,"Cage Free Large Eggs - Grade A, 1 dozen",12 ct,$4.29,3.3600000000000008,0.28800000000000003,2.4000000000000004
SIMPLY NATURE,"Organic Original Unsweetened Almondmilk, 64 fl oz",64 fl oz,$3.75,,,
EMPORIUM SELECTION,"Aged Reserve White Cheddar Cheese, 10 oz",10 oz,$2.75,1113.731265625,60.74897812500001,283.4952312500001
FRIENDLY FARMS,"Lactose Free Fat Free Milk, 64 fl oz",64 fl oz,$3.55,,,
SIMPLY NATURE,"Organic Whole Omega-3 Milk, 64 fl oz",64 fl oz,$4.75,,,
BARISSIMO,"Sugar Free French Vanilla Coffee Creamer, 32 fl oz",32 fl oz,$2.75,,,
BARISSIMO,"Mocha Iced Coffee, 64 fl oz",64 fl oz,$4.09,,,
