brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
CLANCY'S,"Original Kettle Chips, 8 oz",8 oz,$1.65,1214.9795625000002,8.09986375,226.79618500000004
BENTON'S,"Blueberry Breakfast Biscuits, 8.8 oz",8.8 oz,$2.85,1147.5886961000003,19.958064280000006,249.47580350000007
BENTON'S,"Chocolate Chip Cookies, 13 oz",13 oz,$2.55,1790.0698887500005,21.059645750000005,368.5438006250001
SOUTHERN GROVE,"Almond, Dark Chocolate & Cashews Trail Mix, 15 oz",15 oz,$5.39,2409.7094656250006,56.69904625000001,425.24284687500005
SOUTHERN GROVE,"Sweet & Salty Trail Mix, 8 count",8 ct,$3.65,7.813953488372093,0.18604651162790697,1.6
CHOCEUR,"Milk Mini Chocolate Bars, 5 count",5 x 1.4 oz.,$3.29,,,
SIMPLY NATURE,"Organic Blue Corn Tortilla Chips, 8.25 oz",8.25 oz,$2.45,1169.4178289062502,16.705968984375,233.88356578125004
BENTON'S,"Mini Bear Chocolate Grahams Snack Packs, 12 oz",12 oz,$4.39,1579.4734312500002,24.299591250000002,340.19427750000006
SIMPLY NATURE,"Organic Multigrain Tortilla Chips, 8.25 oz",8.25 oz,$2.45,1169.4178289062502,16.705968984375,233.88356578125004
SOUTHERN GROVE,"California Raisins, 20 oz",20 oz,$4.79,1700.9713875000004,14.174761562500004,566.9904625000001
CLANCY'S,"Pretzel Mini Twists, 1 lb",16 oz,$2.19,1781.970025,48.599182500000005,453.5923700000001
CLANCY'S,"Mesquite Barbecue Kettle Chips, 8 oz",8 oz,$1.65,1214.9795625000002,16.1997275,226.79618500000004
CLANCY'S,"Jalapeño Kettle Chips, 8 oz",8 oz,$1.65,1214.9795625000002,16.1997275,226.79618500000004
CLANCY'S,"Sea Salt and Vinegar Kettle Chips, 8 oz",8 oz,$1.65,1214.9795625000002,16.1997275,226.79618500000004
SOUTHERN GROVE,"Dry Roasted Unsalted Peanuts, 16 oz",16 oz,$2.35,2591.9564,113.39809250000002,453.5923700000001
SOUTHERN GROVE,"Dried Mixed Berries, 5 oz",5 oz,$3.09,496.11665468750016,0.0,141.74761562500004
SOUTHERN GROVE,"Mountain Trail Mix, 26 oz",26 oz,$6.85,3439.7421391666676,98.27834683333336,737.0876012500001
SOUTHERN GROVE,"Tropical Trail Mix, 26 oz",26 oz,$6.85,,,
CLANCY'S,"Wavy Potato Chips, 10 oz",10 oz,$1.75,1518.7244531250003,20.249659375000004,283.4952312500001
CLANCY'S,"Barbecue Potato Chips, 9.5 oz",9.5 oz,$1.75,1442.7882304687503,19.237176406250004,269.32046968750006
CLANCY'S,"Restaurant Style Tortilla Chips, 13 oz",13 oz,$1.65,1842.7190031250004,26.324557187500005,368.5438006250001
CLANCY'S,"Original Baked Potato Crisps, 6.25 oz",6.25 oz,$2.99,759.3622265625002,12.656037109375003,177.18451953125003
SOUTHERN GROVE,"Shelled Walnuts, 16 oz",16 oz,$6.49,2915.9509500000004,64.79891,453.5923700000001
SAVORITZ,"Butter Entertainment Crackers, 7 oz",7 oz,$1.65,868.204145703125,12.402916367187501,198.44666187500002
BENTON'S,"Mini Bear Honey Grahams Snack Packs, 12 oz",12 oz,$4.39,1457.9754750000002,24.299591250000002,340.19427750000006
SOUTHERN GROVE,"Indulgent Trail Mix, 26 oz",26 oz,$6.85,3439.7421391666676,73.70876012500003,737.0876012500001
SAVORITZ,"Saltine Crackers, 16 oz",16 oz,$1.95,1814.3694800000003,30.239491333333337,453.5923700000001
BENTON'S,"Double Filled Chocolate Sandwich Creme Cookies, 15.35 oz",15.35 oz,$3.05,2100.7974205387936,15.005695860991382,435.16517996875007
CHOCEUR,"Dark Chocolate Coconut Covered Almonds, 10 oz",10 oz,$6.29,1559.2237718750005,28.349523125000008,283.4952312500001
CLANCY'S,"Sour Cream and Onion Stackerz Potato Crisps, 5.5 oz",5.5 oz,$1.65,835.2984492187501,5.568656328125001,155.92237718750002
SOUTHERN GROVE,"Unsalted Whole Almonds, 14 oz",14 oz,$6.55,2267.96185,85.048569375,396.89332375000004
SIMPLY NATURE,"Organic Peppered Beef Jerky, 2.5 oz",2.85 oz,$3.55,230.84611687500004,25.970188148437504,80.79614090625002
CHOCEUR,"Superberry Pomegranate Dark Chocolate, 7 oz",7 oz,$4.39,843.3983129687501,2.4805832734375004,198.44666187500002
SOUTHERN GROVE,"Deluxe Mixed Nuts with Sea Salt, 30 oz",,$14.29,0.0,0.0,0.0
CHOCEUR,"Dark Mini Chocolate Bars - 5 pack, 1.4 oz","5 x 1.4 oz,",$3.29,,,
CHOCEUR,"Strawberry Yogurt Filled Mini Chocolate Bars, 7.05 oz",7.05 oz,$3.85,1165.8741385156252,11.103563223958336,199.86413803125004
CHOCEUR,"Milk Hazelnut Crisp Filled Mini Chocolate Bars, 7.05 oz",7.05 oz,$3.85,1165.8741385156252,16.655344835937505,199.86413803125004
MOSER ROTH,"Dark Chili Chocolate Bar, 4.4 oz",4.4 oz,$3.29,698.5322498000002,9.979032140000003,124.73790175000003
CHOCEUR,"Hazelnut Crunch Mini Chocolate Bars - 5 pack, 1.4 oz",5 x 1.4 oz.,$3.29,,,
,"Dark Chocolate Sea Salt Bar, 4.4 oz",4.4 oz,$3.29,445.4925062500001,33.41193796875001,124.73790175000003
CHOCEUR,"Milk Creme Filled Mini Chocolate Bars, 7.05 oz",7.05 oz,$3.85,1069.0407383066863,13.944009630087212,199.86413803125004
MOSER ROTH,"Toffee Crunch Chocolate Bar, 4.4 oz",4.4 oz.,$3.29,673.5846694500002,7.484274105000003,124.73790175000003
SIMPLY NATURE,"Chia Seeds, 12 oz",12 oz,$3.85,1700.9713875000002,68.03885550000001,340.19427750000006
MOSER ROTH,"Dark Sea Salt Caramel Chocolate Bar, 4.4 oz",4.4 oz.,$3.29,648.6370891000001,4.989516070000001,124.73790175000003
MOSER ROTH,"Dark Mint Chocolate Bar, 4.4 oz",4.4 oz.,$3.29,,,
MOSER ROTH,"Milk Extra Creamy Chocolate Bar, 4.4 oz",4.4 oz,$3.29,723.4798301500002,9.979032140000003,124.73790175000003
MOSER ROTH,"Dark Orange and Almond Chocolate Bar, 4.4 oz",4.4 oz,$3.29,723.4798301500002,7.484274105000003,124.73790175000003
MOSER ROTH,"Dark Chocolate 85% Cocoa Chocolate Bar, 4.4 oz",4.4 oz,$3.29,798.3225712000002,14.968548210000005,124.73790175000003
KNOPPERS,Crispy Milk Hazelnut Chocolate Wafer Snacks - 5 pack,5 x 0.88 oz,$3.25,,,
SOUTHERN GROVE,"Deluxe Whole Cashews with Sea Salt, 30 oz",30 oz,$11.89,4859.918250000001,151.87244531250002,850.4856937500001
SOUTHERN GROVE,"Cashew Halves and Pieces with Sea Salt, 14 oz",14 oz,$5.39,2409.709465625,85.048569375,396.89332375000004
SIMPLY NATURE,"Brown Whole Flax Seed, 16 oz",16 oz,$3.65,1965.5669366666668,120.95796533333335,453.5923700000001
SOUTHERN GROVE,"Dried Mediterranean Apricots, 6 oz",6 oz,$3.85,425.24284687500005,2.1262142343750003,170.09713875000003
EXCITEMINT,"Sugar Free Arctic Blast Gum, 60 count",60 ct,$2.19,21.428571428571427,0.0,12.0
SOUTHERN GROVE,"Shelled Pistachios Roasted with Sea Salt, 6 oz",6 oz,$4.39,963.8837862500002,34.019427750000006,170.09713875000003
CLANCY'S,"Cheddar Cheese Stackerz Potato Crisps, 5.5 oz",5.5 oz,$1.65,835.2984492187501,5.568656328125001,155.92237718750002
SIMPLY NATURE,"Freeze Dried Strawberries, 1.2 oz",1.2 oz,$2.85,120.06856852941178,1.0005714044117648,34.019427750000006
SOUTHERN GROVE,"Peanut Cranberry Almond Trail Mix, 8 count",8 ct,$3.65,8.186046511627907,0.29767441860465116,1.6
BENTON'S,"Duplex Sandwich Crème Cookies, 25 oz",25 oz,$2.95,3239.9455000000007,20.249659375000004,708.7380781250001
SIMPLY NATURE,"Organic Teriyaki Beef Jerky, 2.5 oz",2.85 oz,$3.55,230.84611687500004,28.855764609375004,80.79614090625002
CLANCY'S,"Original Kettle Chips, 8 oz",8 oz,$1.65,1214.9795625000002,8.09986375,226.79618500000004
BENTON'S,"Blueberry Breakfast Biscuits, 8.8 oz",8.8 oz,$2.85,1147.5886961000003,19.958064280000006,249.47580350000007
BENTON'S,"Chocolate Chip Cookies, 13 oz",13 oz,$2.55,1790.0698887500005,21.059645750000005,368.5438006250001
SOUTHERN GROVE,"Almond, Dark Chocolate & Cashews Trail Mix, 15 oz",15 oz,$5.39,2409.7094656250006,56.69904625000001,425.24284687500005
SOUTHERN GROVE,"Sweet & Salty Trail Mix, 8 count",8 ct,$3.65,7.813953488372093,0.18604651162790697,1.6
CHOCEUR,"Milk Mini Chocolate Bars, 5 count",5 x 1.4 oz.,$3.29,,,
SIMPLY NATURE,"Organic Blue Corn Tortilla Chips, 8.25 oz",8.25 oz,$2.45,1169.4178289062502,16.705968984375,233.88356578125004
BENTON'S,"Mini Bear Chocolate Grahams Snack Packs, 12 oz",12 oz,$4.39,1579.4734312500002,24.299591250000002,340.19427750000006
SIMPLY NATURE,"Organic Multigrain Tortilla Chips, 8.25 oz",8.25 oz,$2.45,1169.4178289062502,16.705968984375,233.88356578125004
SOUTHERN GROVE,"California Raisins, 20 oz",20 oz,$4.79,1700.9713875000004,14.174761562500004,566.9904625000001
CLANCY'S,"Pretzel Mini Twists, 1 lb",16 oz,$2.19,1781.970025,48.599182500000005,453.5923700000001
CLANCY'S,"Mesquite Barbecue Kettle Chips, 8 oz",8 oz,$1.65,1214.9795625000002,16.1997275,226.79618500000004
CLANCY'S,"Jalapeño Kettle Chips, 8 oz",8 oz,$1.65,1214.9795625000002,16.1997275,226.79618500000004
CLANCY'S,"Sea Salt and Vinegar Kettle Chips, 8 oz",8 oz,$1.65,1214.9795625000002,16.1997275,226.79618500000004
SOUTHERN GROVE,"Dry Roasted Unsalted Peanuts, 16 oz",16 oz,$2.35,2591.9564,113.39809250000002,453.5923700000001
SOUTHERN GROVE,"Dried Mixed Berries, 5 oz",5 oz,$3.09,496.11665468750016,0.0,141.74761562500004
SOUTHERN GROVE,"Mountain Trail Mix, 26 oz",26 oz,$6.85,3439.7421391666676,98.27834683333336,737.0876012500001
SOUTHERN GROVE,"Tropical Trail Mix, 26 oz",26 oz,$6.85,,,
CLANCY'S,"Wavy Potato Chips, 10 oz",10 oz,$1.75,1518.7244531250003,20.249659375000004,283.4952312500001
CLANCY'S,"Barbecue Potato Chips, 9.5 oz",9.5 oz,$1.75,1442.7882304687503,19.237176406250004,269.32046968750006
CLANCY'S,"Restaurant Style Tortilla Chips, 13 oz",13 oz,$1.65,1842.7190031250004,26.324557187500005,368.5438006250001
CLANCY'S,"Original Baked Potato Crisps, 6.25 oz",6.25 oz,$2.99,759.3622265625002,12.656037109375003,177.18451953125003
SOUTHERN GROVE,"Shelled Walnuts, 16 oz",16 oz,$6.49,2915.9509500000004,64.79891,453.5923700000001
SAVORITZ,"Butter Entertainment Crackers, 7 oz",7 oz,$1.65,868.204145703125,12.402916367187501,198.44666187500002
BENTON'S,"Mini Bear Honey Grahams Snack Packs, 12 oz",12 oz,$4.39,1457.9754750000002,24.299591250000002,340.19427750000006
SOUTHERN GROVE,"Indulgent Trail Mix, 26 oz",26 oz,$6.85,3439.7421391666676,73.70876012500003,737.0876012500001
SAVORITZ,"Saltine Crackers, 16 oz",16 oz,$1.95,1814.3694800000003,30.239491333333337,453.5923700000001
BENTON'S,"Double Filled Chocolate Sandwich Creme Cookies, 15.35 oz",15.35 oz,$3.05,2100.7974205387936,15.005695860991382,435.16517996875007
CHOCEUR,"Dark Chocolate Coconut Covered Almonds, 10 oz",10 oz,$6.29,1559.2237718750005,28.349523125000008,283.4952312500001
CLANCY'S,"Sour Cream and Onion Stackerz Potato Crisps, 5.5 oz",5.5 oz,$1.65,835.2984492187501,5.568656328125001,155.92237718750002
SOUTHERN GROVE,"Unsalted Whole Almonds, 14 oz",14 oz,$6.55,2267.96185,85.048569375,396.89332375000004
SIMPLY NATURE,"Organic Peppered Beef Jerky, 2.5 oz",2.85 oz,$3.55,230.84611687500004,25.970188148437504,80.79614090625002
CHOCEUR,"Superberry Pomegranate Dark Chocolate, 7 oz",7 oz,$4.39,843.3983129687501,2.4805832734375004,198.44666187500002
SOUTHERN GROVE,"Deluxe Mixed Nuts with Sea Salt, 30 oz",,$14.29,0.0,0.0,0.0
CHOCEUR,"Dark Mini Chocolate Bars - 5 pack, 1.4 oz","5 x 1.4 oz,",$3.29,,,
