brand,name,weight,price
LITTLE SALAD BAR,"Flat Leaf Spinach, 8 oz",8 oz,$1.65
LITTLE SALAD BAR,"Classic Coleslaw, 14 oz",14 oz,$1.65
,"Spinach & Artichoke Stuffed Mushrooms, 8.5 oz",8.5 oz,$4.29
SIMPLY NATURE,"Organic Chopped Kale, 12 oz",12 oz,$3.29
LITTLE SALAD BAR,"Santa Fe Style Salad Bowl, 6.25 oz",5.7 oz,$3.19
LITTLE SALAD BAR,"Southwest Chopped Salad Kit, 12 oz",12 oz,$3.29
LITTLE SALAD BAR,"Sunflower Chopped Salad Kit, 11.1 oz",11.1 oz,$3.29
LITTLE SALAD BAR,"Italian Salad, 9 oz",9 oz,$2.99
LITTLE SALAD BAR,"Spring Mix, 5 oz",5 oz,$2.65
LITTLE SALAD BAR,"Garden Salad, 12 oz",12 oz,$1.99
LITTLE SALAD BAR,"Sweet Kale Chopped Salad Kit, 12 oz",12 oz,$3.29
LITTLE SALAD BAR,"Caesar Salad Kit, 10 oz",10 oz,$3.09
LITTLE SALAD BAR,"Asian Chopped Salad Kit, 12 oz",12 oz,$3.29
SIMPLY NATURE,"Organic Arugula and Spinach Mix, 5 oz",5 oz,$2.85
LITTLE SALAD BAR,"Chicken Caesar Salad Bowl, 5.75 oz",6.25 oz,$3.19
LITTLE SALAD BAR,"Shredded Lettuce, 8 oz",8 oz,$1.75
LITTLE SALAD BAR,"Mango Slices, 16 oz",16 oz,$5.49
LITTLE SALAD BAR,"Sweet Butter Salad, 8 oz",6 oz,$2.65
SIMPLY NATURE,"Organic Mixed Greens, 5 oz",5 oz,$2.85
SIMPLY NATURE,"Organic Spring Mix, 16 oz",16 oz,$5.05
SIMPLY NATURE,"Organic Baby Spinach, 5 oz",5 oz,$2.85
,"Vidalia Onions, 2 lb",2 lb,$2.19
,"Carrots, 2 lb",2 lb,$1.65
,"Romaine Lettuce Hearts, 3 count",3 ct,$3.55
,"Caramel Apples, 3 count",3 ct,$3.55
,"Cucumber, each",1 each,$0.79
,"Artisan Lettuce, each",1 each,$3.29
