brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
LITTLE SALAD BAR,"Flat Leaf Spinach, 8 oz",8 oz,$1.65,53.36380823529413,5.336380823529413,226.79618500000004
LITTLE SALAD BAR,"Classic Coleslaw, 14 oz",14 oz,$1.65,93.38666441176471,4.669333220588236,396.89332375000004
,"Spinach & Artichoke Stuffed Mushrooms, 8.5 oz",8.5 oz,$4.29,221.94692446546057,9.512011048519739,240.97094656250005
SIMPLY NATURE,"Organic Chopped Kale, 12 oz",12 oz,$3.29,160.0914247058824,16.009142470588237,340.19427750000006
LITTLE SALAD BAR,"Santa Fe Style Salad Bowl, 6.25 oz",5.7 oz,$3.19,198.60503909916204,9.930251954958102,161.59228181250003
LITTLE SALAD BAR,"Southwest Chopped Salad Kit, 12 oz",12 oz,$3.29,306.1748497500001,13.607771100000003,340.19427750000006
LITTLE SALAD BAR,"Sunflower Chopped Salad Kit, 11.1 oz",11.1 oz,$3.29,566.4234720375,12.5871882675,314.6797066875
LITTLE SALAD BAR,"Italian Salad, 9 oz",9 oz,$2.99,45.025713198529424,3.001714213235295,255.14570812500006
LITTLE SALAD BAR,"Spring Mix, 5 oz",5 oz,$2.65,29.946679357394377,2.9946679357394377,141.74761562500004
LITTLE SALAD BAR,"Garden Salad, 12 oz",12 oz,$1.99,60.03428426470589,4.002285617647059,340.19427750000006
LITTLE SALAD BAR,"Sweet Kale Chopped Salad Kit, 12 oz",12 oz,$3.29,510.2914162500001,10.205828325000002,340.19427750000006
LITTLE SALAD BAR,"Caesar Salad Kit, 10 oz",10 oz,$3.09,453.59237000000013,11.339809250000004,283.4952312500001
LITTLE SALAD BAR,"Asian Chopped Salad Kit, 12 oz",12 oz,$3.29,510.2914162500001,10.205828325000002,340.19427750000006
SIMPLY NATURE,"Organic Arugula and Spinach Mix, 5 oz",5 oz,$2.85,34.93779258362677,3.9928905809859168,141.74761562500004
LITTLE SALAD BAR,"Chicken Caesar Salad Bowl, 5.75 oz",6.25 oz,$3.19,230.23977114230232,16.016679731638423,177.18451953125003
LITTLE SALAD BAR,"Shredded Lettuce, 8 oz",8 oz,$1.75,26.681904117647065,2.6681904117647064,226.79618500000004
LITTLE SALAD BAR,"Mango Slices, 16 oz",16 oz,$5.49,287.48812183098596,3.194312464788733,453.5923700000001
LITTLE SALAD BAR,"Sweet Butter Salad, 8 oz",6 oz,$2.65,20.0114280882353,2.0011428088235297,170.09713875000003
SIMPLY NATURE,"Organic Mixed Greens, 5 oz",5 oz,$2.85,39.92890580985917,3.9928905809859168,141.74761562500004
SIMPLY NATURE,"Organic Spring Mix, 16 oz",16 oz,$5.05,80.0457123529412,10.672761647058826,453.5923700000001
SIMPLY NATURE,"Organic Baby Spinach, 5 oz",5 oz,$2.85,33.35238014705883,3.335238014705883,141.74761562500004
,"Vidalia Onions, 2 lb",2 lb,$2.19,290.5183759516617,7.125922429003023,907.1847400000001
,"Carrots, 2 lb",2 lb,$1.65,315.5425182608696,7.88856295652174,907.1847400000001
,"Romaine Lettuce Hearts, 3 count",3 ct,$3.55,0.10218340611353713,0.007336244541484717,0.6000000000000001
,"Caramel Apples, 3 count",3 ct,$3.55,0.6445229681978799,0.0038162544169611312,0.6000000000000001
,"Cucumber, each",1 each,$0.79,,,
,"Artisan Lettuce, each",1 each,$3.29,,,
,"Organic Green Grapes, 2 lb",2 lb,$5.49,629.4751257142858,7.405589714285715,907.1847400000001
,"Baby Peeled Carrots, 16 oz",16 oz,$1.35,158.75732950000003,2.7215542200000002,453.5923700000001
,"Granny Smith Apples, 3 lb",,$3.95,0.0,0.0,0.0
,"Golden Kiwi, Package",1 lb,$4.39,279.99529012345687,5.599905802469137,453.5923700000001
,"Red Delicious Apples, 3 lb",3 lb,$2.85,802.3449941037737,3.8512559716981136,1360.7771100000002
,"Red & Yellow Potatoes, 24 oz",24 oz,$3.09,505.69419628378387,13.791659898648652,680.3885550000001
,"Strawberries, 1 lb",1 lb,$2.59,146.1575414444445,3.023949133333334,453.5923700000001
,"Green Peppers, 3 count",3 ct,$2.19,9.900000000000002,0.42000000000000004,0.6000000000000001
,"Pink Lady Apples, 3 lb",3 lb,$3.85,710.2957442307694,3.7383986538461547,1360.7771100000002
,"Organic Blackberries, 6 oz",6 oz,$3.29,73.04171252205883,2.4013713705882354,170.09713875000003
,"Russet Potatoes, 10 lb",10 lb,$5.19,4404.82763930636,117.98645462427748,4535.923700000001
,"Blueberries, 1 pint",1 pt,$1.99,,,
,"Organic Red Grapes, 2 lb",,$5.49,0.0,0.0,0.0
,"Mandarin Oranges, 3 lb",,$4.09,0.0,0.0,0.0
,"Pineapple, each",1 each,$2.29,,,
,"Portabella Mushrooms, 6 oz",6 oz,$2.45,51.02914162500001,5.783302717500001,170.09713875000003
,"Grape Tomatoes, 10 oz",10 oz,$2.19,51.636631406250004,3.0374489062500003,283.4952312500001
,"Blackberries, 6 oz",6 oz,$2.19,73.27261361538463,2.3551911519230773,170.09713875000003
,"Asparagus, 1 lb",1 lb,$2.99,99.79032140000001,12.095796533333335,453.5923700000001
,"Organic Blueberries, Package",1 pt,$3.85,,,
,"Jalapeno Peppers, 8 oz",8 oz,$0.89,66.41888275,1.6199727500000003,226.79618500000004
,"Fresh Organic Strawberries, 1 lb",1 lb,$3.55,157.49735069444446,3.149947013888889,453.5923700000001
,"Cauliflower Crowns, each",1 each,$3.29,,,
,"Mini Avocados, 6 count",6 ct,$3.29,2.0210526315789474,0.025263157894736845,1.2000000000000002
,"Anjou Pears, 3 lb",3 lb,$5.39,772.1263376966293,4.586889134831461,1360.7771100000002
,"Beefsteak Tomatoes, 1 lb",1 lb,$2.55,82.24477038461539,3.9876252307692313,453.5923700000001
,"Tomatoes On the Vine, 24 oz",24 oz,$3.09,127.89258552631581,2.5578517105263163,680.3885550000001
,"Cabbage, each",3 lb,$2.25,308.4428116,18.143694800000002,1360.7771100000002
,"Sugar Snap Peas, 8 oz",8 oz,$2.65,95.95223211538463,8.722930192307693,226.79618500000004
,"Watermelon, each",1 each,$5.15,,,
,"Lemons, 2 lb",2 lb,$4.29,259.19564,9.719836500000001,907.1847400000001
,"Organic Celery Hearts, each",1 each,$2.85,,,
,"Red Potatoes, 5 lb",5 lb,$4.65,2017.6516792642144,52.337581153846166,2267.9618500000006
,"Gourmet Medley Tomatoes, 12 oz",12 oz,$3.29,60.287593481012664,4.306256677215191,340.19427750000006
,"Organic Mini Cucumbers, 1 lb",1 lb,$3.65,68.03885550000001,2.7215542200000002,453.5923700000001
,"Radishes, 16 oz",16 oz,$1.85,70.5588131111111,0.0,453.5923700000001
,"Cocktail Tomatoes, 16 oz",1 lb,$3.59,81.6466266,3.6287389600000006,453.5923700000001
,"Nectarines, 2 lb",2 lb,$3.75,401.2547888461539,9.885987551282051,907.1847400000001
,"Green Onions, 5.5 oz",5.5 oz,$0.95,50.674772585937504,2.7843281640625004,155.92237718750002
,"Sliced White Mushrooms, 8 oz",,$1.42,0.0,0.0,0.0
,"Organic Grape Tomatoes, 10 oz",10 oz,$3.09,50.23966123417722,3.588547231012659,283.4952312500001
,"Kiwi, 2 lb",2 lb,$4.75,552.1994069565218,10.518083942028987,907.1847400000001
,"Organic Broccoli, each",1 each,$3.55,,,
,"Organic Pink Lady Apples, 3 lb",3 lb,$4.75,43091.27515000001,226.79618500000004,1360.7771100000002
