brand,name,weight,price
BENTON'S,"Blueberry Breakfast Biscuits, 5 pack",8.8 oz,$3.59
MILLVILLE,"Crispy Rice Cereal, 12 oz",12 oz,$2.15
MILLVILLE,"Honey Graham Squares, 12 oz",12 oz,$2.49
FIT & ACTIVE,"Vitality Cereal Vanilla Almond, 12.4 oz",12.4 oz,$2.99
ELEVATION,"Double Chocolate Protein Meal Bars, 6 count",6 ct,$5.49
SIMPLY NATURE,"Organic Oats and Flax Instant Oatmeal Packets, 8 count",11.29 oz,$2.75
MILLVILLE,"Quick Oats, 42 oz",42 oz,$4.39
ELEVATION,"Strawberry Protein Meal Bar, 6 count",6 ct,$5.49
SIMPLY NATURE,"Organic Pumpkin Seed & Flax Granola Cereal, 11.5 oz",11.5 oz,$2.65
MILLVILLE,"Honey Crunch 'n Oats with Almonds Cereal, 18 oz",18 oz,$2.95
MILLVILLE,"Crispy Oats Cereal, 12 oz",12 oz,$1.85
MILLVILLE,"Traditional Steel Cut Oats Canister, 30 oz",30 oz,$3.09
MILLVILLE,"Cherry Fruit and Grain Cereal Bars, 8 count",8 ct,$2.19
MILLVILLE,"Bran Flakes, 18 oz",18 oz,$3.15
MILLVILLE,"Family Size Frosted Flakes, 26.8 oz",26.8 oz,$3.85
SIMPLY NATURE,"Organic Coconut Chia Granola Cereal, 12.3 oz",12.3 oz,$2.65
MILLVILLE,"Whole Grain Oats, Almonds and Honey Crunchy Granola, 14 oz",14 oz,$2.55
MILLVILLE,"Peanut Sweet and Salty Nut Granola Bars, 6 count",6 ct,$2.39
MILLVILLE,"Maple and Brown Sugar Instant Oatmeal, 10 count",15.1 oz,$2.05
MILLVILLE,"Quick Cook Steel Cut Oats Canister, 25 oz",25 oz,$3.09
MILLVILLE,"Almond Sweet and Salty Nut Granola Bars, 6 count",6 ct,$2.39
ELEVATION,"Apple Pie Pure and Simple Fruit and Nut Bars, 5 count",5 ct,$5.05
MILLVILLE,"Strawberry Fruit & Grain Cereal Bars, 8 count",8 ct,$2.19
FIT & ACTIVE,"Vitality Cereal with Red Berries, 11.2 oz",11.2 oz,$2.99
MILLVILLE,"Fruit Rounds Cereal, 12.2 oz",12.2 oz,$1.85
MILLVILLE,"Oats 'n Honey Protein Crunchy Granola, 11 oz",11 oz,$2.65
MILLVILLE,"Fruit and Nut Trail Mix Chewy Granola Bars, 6 count",6 ct,$1.99
MILLVILLE,"Peanut Butter Crunchy Granola Bar 2 packs, 6 count",6 ct,$2.49
ELEVATION,"Peanut Butter Cookie Pure and Simple Fruit and Nut Bars, 5 count",5 ct,$5.05
MILLVILLE,"Corn Flakes Cereal, 18 oz",18 oz,$2.45
SIMPLY NATURE,"Organic Cinnamon Raisin Granola, 12 oz",12 oz,$4.39
MILLVILLE,"Oats 'n Dark Chocolate Protein Crunchy Granola, 11 oz",11 oz,$2.65
MILLVILLE,"Cranberries and Almonds Protein Crunchy Granola, 11 oz",11 oz,$2.65
MILLVILLE,"Peanut Butter Chewy Dipped Granola Bars, 6 count",6 ct,$1.89
MILLVILLE,"Raspberry Fruit and Grain Cereal Bars, 8 count",8 ct,$2.19
SIMPLY NATURE,"Organic Apple Cinnamon Instant Oatmeal Packets, 8 count",11.29 oz,$2.75
MILLVILLE,"Honey Crunch 'n Oats Original Cereal, 18 oz",,$2.95
ELEVATION,"Chocolate Peanut Butter Protein Meal Bars, 6 count",6 ct,$5.49
MILLVILLE,"Marshmallow and Stars Cereal, 11.5 oz",11.5 oz,$2.15
MILLVILLE,"Variety Pack Instant Oatmeal, 10 count",13.5 oz,$2.05
MILLVILLE,"Mixed Berry Fruit and Grain Cereal Bars, 8 count",8 ct,$2.19
MILLVILLE,"Old Fashioned Rolled Oats, 42 oz",42 oz,$4.39
MILLVILLE,"Frosted Bite Size Shredded Wheat, 18 oz",18 oz,$2.35
MILLVILLE,"Blueberry Frosted Shredded Wheat Cereal, 16 oz",16 oz,$2.35
MILLVILLE,"Crunchy Granola Raisin Bran Crunch, 18.2 oz",18.2 oz,$2.99
MILLVILLE,"Cocoa Peanut Butter Puffs Cereal, 13 oz",13 oz,$2.15
MILLVILLE,"Apple Cinnamon Fruit and Grain Cereal Bars, 8 count",8 ct,$2.19
MILLVILLE,"Honey Wheat Puffs Cereal, 15.3 oz",15.3 oz,$2.19
MILLVILLE,"Chocolate Fudge Toaster Tarts, 12 count",,$2.45
MILLVILLE,"Berry Kids Krunch Cereal, 13 oz",13 oz,$2.99
BENTON'S,"Cinnamon Breakfast Biscuits, 5 pack",8.8 oz,$3.59
ELEVATION,"Caramel Double Chocolate Crunch Advance Snack Bars, 5 count",5 ct,$5.95
MILLVILLE,"Strawberry Frosted Shredded Wheat Cereal, 16.3 oz",16.3 oz,$2.35
SIMPLY NATURE,"Dark Chocolate Sea Salt Super Foods Gluten Free Granola, 11 oz",11 oz,$3.95
MILLVILLE,"Cinnamon Granola Crunch, 16 oz",16 oz,$4.19
MILLVILLE,"Oats and Honey Granola Crunch, 16 oz",16 oz,$4.19
MILLVILLE,"Variety Pack Chewy Granola Bars, 10 count",10 ct,$2.09
