brand,name,weight,latest_date,latest_price,median_price_30d,pct_diff_vs_30d_median,direction,reason
BAKE SHOP,"Pumpkin Cake Roll, 18 oz",18 oz,2026-01-02,0.55,0.95,-42.11,lower_vs_30d_median,median_diff_30pct
BREMER,"Original Meatballs, 32 oz",32 oz,2026-01-25,7.49,8.15,-8.1,lower_vs_30d_median,model_30d_unique
CLANCY'S,"Mistletoe Snack Mix Gift Box, 8 oz",8 oz,2026-01-02,0.55,0.97,-43.3,lower_vs_30d_median,median_diff_30pct
CLANCY'S,"Pretzel Rings, 16 oz",16 oz.,2026-01-25,0.25,0.4,-37.5,lower_vs_30d_median,median_diff_30pct
CLANCY'S,"Pretzels Gift Box, 8 oz",8 oz,2026-01-02,0.55,0.97,-43.3,lower_vs_30d_median,median_diff_30pct
EMPORIUM SELECTION,"Everything Goat Milk Cheese Log, 6 oz",6 oz,2026-01-25,2.55,3.75,-32.0,lower_vs_30d_median,median_diff_30pct
EMPORIUM SELECTION,"Goat Brie, 7 oz",7 oz,2026-01-25,2.55,3.75,-32.0,lower_vs_30d_median,median_diff_30pct
EMPORIUM SELECTION,"Goat Cheddar, 6.35 oz",6.35 oz,2026-01-25,2.55,3.75,-32.0,lower_vs_30d_median,median_diff_30pct
EMPORIUM SELECTION,"Truffle Goat Log, 4 oz",4 oz,2026-01-25,2.55,3.75,-32.0,lower_vs_30d_median,median_diff_30pct
HAPPY HARVEST,"Canned Cut Green Beans, 14.5 oz",14.5 oz,2026-01-25,0.85,0.55,54.55,higher_vs_30d_median,model_30d_unique|median_diff_30pct
L'OVEN FRESH,"Multigrain Harvest Bagels, 6 count",20 oz,2026-01-08,0.29,0.49,-40.82,lower_vs_30d_median,median_diff_30pct
L'OVEN FRESH,"Pumpkin Bagels, 6 count",20 oz,2026-01-08,0.29,0.49,-40.82,lower_vs_30d_median,median_diff_30pct
NABISCO,"White Fudge Oreos, 8.5 oz",8.5 oz,2026-01-13,2.19,3.29,-33.43,lower_vs_30d_median,model_30d_unique|median_diff_30pct
NATURE'S NECTAR,"Sparkling Apple Cider, 25.4 fl oz",25.4 fl oz,2026-01-25,1.55,2.35,-34.04,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Basil, Black Olive, and Cheese Tapenade, 6 oz",6 oz,2026-01-25,1.25,1.89,-33.86,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Feta Stuffed Queen Olives, 7 oz",7 oz,2026-01-13,1.65,2.45,-32.65,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Green Olive Tapenade, 6 oz",6 oz,2026-01-25,1.25,1.89,-33.86,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Italian Breadsticks Mixed Seeds, 4.4 oz",4.4 oz,2026-01-14,1.09,1.65,-33.94,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Italian Breadsticks Rosemary, 4.4 oz",4.4 oz,2026-01-14,1.09,1.65,-33.94,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Italian Breadsticks Sea Salt & Olive Oil, 4.4 oz",4.4 oz,2026-01-14,1.09,1.65,-33.94,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Jalapeno Jack Cheese Stuffed Olives, 12 oz",7 oz,2026-01-13,1.65,2.45,-32.65,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Jalapeno Jack Cheese Stuffed Olives, 7 oz",7 oz,2026-01-13,1.65,2.45,-32.65,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Mini Onion Brioche Toast Crackers, 2.82 oz",2.82 oz,2026-01-25,0.85,1.25,-32.0,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Original Mini Brioche Toast Cracker, 2.82 oz",2.82 oz,2026-01-25,0.85,1.25,-32.0,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Roasted Red Pepper Artichoke Tapenade, 6 oz",6 oz,2026-01-25,1.25,1.89,-33.86,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Scalloped Cracker Black Pepper, 6.5 oz",6.5 oz,2026-01-09,1.09,1.65,-33.94,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Scalloped Sea Salt Crackers, 6.5 oz",6.5 oz,2026-01-09,1.09,1.65,-33.94,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"White Cheddar Cheese Stuffed Olives, 12 oz",7 oz,2026-01-13,1.65,2.45,-32.65,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"White Cheddar Cheese Stuffed Olives, 7 oz",7 oz,2026-01-13,1.65,2.45,-32.65,lower_vs_30d_median,model_30d_unique|median_diff_30pct
(no brand),"6"" Self Watering Plant",1 ea,2026-01-21,4.99,7.49,-33.38,lower_vs_30d_median,median_diff_30pct
(no brand),"Blackberries, 6 oz",6 oz,2026-01-25,2.35,2.65,-11.32,lower_vs_30d_median,model_30d_unique
(no brand),"Blueberries, 1 pint",1 pt,2026-01-25,2.29,2.85,-19.65,lower_vs_30d_median,model_30d_unique
(no brand),"Celery, each",1 each,2026-01-25,2.09,1.39,50.36,higher_vs_30d_median,model_30d_unique|median_diff_30pct
(no brand),"Cosmic Crisp Apples, 2 lb",2 lb,2026-01-25,1.99,2.89,-31.14,lower_vs_30d_median,model_30d_unique|median_diff_30pct
(no brand),"Fresh Navel Oranges, 4 lb",4 lb,2026-01-25,2.49,3.89,-35.99,lower_vs_30d_median,model_30d_unique|median_diff_30pct
(no brand),"Organic Pink Lady Apples, 3 lb",3 lb,2026-01-25,4.75,4.95,-4.04,lower_vs_30d_median,model_30d_unique
(no brand),"Strawberries, 1 lb",1 lb,2026-01-25,2.85,3.57,-20.17,lower_vs_30d_median,model_30d_unique
