brand,name,weight,price
BARISSIMO,"Mocha Iced Coffee, 64 fl oz",64 fl oz,$4.29
NATURE'S NECTAR,"Pulp Free Orange Juice, 52 fl oz",52 fl oz,$4.15
VITALIFE,"Elderberry Shot, 2 fl oz",2 fl oz,$1.89
NATURE'S NECTAR,"Non Alcoholic Sparkling Red Grape Juice Cocktail, 750 ml",25.4 fl oz,$2.75
BOLTHOUSE FARMS,"Strawberry Banana Smoothie, 52 fl oz",52 fl oz,$6.59
LA CROIX,"Coconut Flavored Sparkling Water - 12 Pack, 12 fl oz Cans",12 x 12 fl oz,$5.99
LA CROIX,"Mango Flavored Sparkling Water - 12 Pack, 12 fl oz Cans",12 x 12 fl oz,$5.99
LA CROIX,"Guava Flavored Sparkling Water - 12 Pack, 12 fl oz Cans",12 x 12 fl oz,$5.99
VITALIFE,"Organic Vitamin C Shot, 2 fl oz",2 fl oz,$1.89
BOLTHOUSE FARMS,"Green Goodness Smoothie, 52 fl oz",52 fl oz,$6.59
NATURE'S NECTAR,"Non Alcoholic Sparkling White Grape Juice Cocktail, 750 ml",25.4 fl oz,$2.75
GATORADE,"Berry Cherry Glacier Flavored Energy Drink - 18 pack, 12 fl oz bottle",216 fl oz,$10.78
GATORADE,"Fierce Grape, Strawberry and Berry - 18 Pack, 12 fl oz Bottles",216 fl oz,$10.78
LA CROIX,"Passionfruit Flavored Sparkling Water - 12 Pack, 12 fl oz Cans",12 x 12 fl oz,$5.99
BARISSIMO,"Caramel Macchiato Iced Coffee, 64 fl oz",64 fl oz,$4.29
COCA-COLA,Sprite 20 fl oz,20 fl oz,$2.65
PROPEL,"Immune Support Electrolyte Water Variety Pack - 18 pack, 16.9 fl oz",1 each,$13.97
VITALIFE,"Vitamin B Shot With Mixed Berries, 2 fl oz bottle",2 fl oz,$1.89
GATORADE,"Fruit Punch Grape Orange Flavored Energy Drink - 18 pack, 12 fl oz bottle",216 fl oz,$10.78
SUMMIT,"Regular Energy Drink, 16 fl oz Can",16 fl oz,$1.45
SUMMIT,"Ultra White Energy Drink, 16 fl oz Can",16 fl oz,$1.45
PRIME,"Cherry Limeade Flavored Energy Drink, 16 fl oz can",16 fl oz,$1.69
PRIME,"Dream Pop Flavored Energy Drink, 16 fl oz can",16 fl oz,$1.69
PRIME,"Dripsicle Flavored Energy Drink, 16 fl oz can",16 fl oz,$1.69
PRIME,"Original Flavored Energy Drink, 16 fl oz can",16 fl oz,$1.69
LA CROIX,"Sunshine Essence Sparkling Flavored Water - 12 pack, 12 fl oz",12 x 12 fl oz,$5.99
SUMMIT,Popz Spiced Apple Cider Prebiotic Soda,12 fl oz,$1.35
SUMMIT,Popz Pomegranate Orange Prebiotic Soda,12 fl oz,$1.35
SUMMIT,Popz Cranberry Prebiotic Soda,12 fl oz,$1.35
SUMMIT,Peach Waves Peach Energy Drink,30 fl oz,$3.29
SUMMIT,Tropical Waves Pineapple & Starfruit Energy Drink,30 fl oz,$3.29
SUMMIT,Berry Waves Blue Raspberry Energy Drink,30 fl oz,$3.29
PURAQUA,"White Peach Strawberry Prebiotic Collagen Drink Mix Sticks, 6 Count",3.18 oz,$5.39
PURAQUA,"Passion Fruit Prebiotic Collagen Drink Mix Sticks, 6 Count",3.18 oz,$5.39
PURAQUA,"Fruit Punch Prebiotic Collagen Drink Mix Sticks, 6 Count",3.18 oz,$5.39
PURAQUA,"Fizzer Guava Berry Flavored Sparkling Water, 12 fl oz",12 fl oz,$1.35
PURAQUA,"Fizzer Pineapple Passionfruit Flavored Sparkling Water, 12 fl oz",12 fl oz,$1.35
PURAQUA,"Fizzer Peach Strawberry Flavored Sparkling Water, 12 fl oz",12 fl oz,$1.35
NATURE'S NATURE,"Organic Pressed Coconut Water, 16.9 fl oz",,$2.19
SUMMIT,"Popz Berry Blast Flavored Prebiotic Soda, 12 fl oz",12 fl oz,$1.65
SUMMIT,"Popz Orange Mandarin Flavored Prebiotic Soda, 12 fl oz",12 fl oz,$1.65
SUMMIT,"Popz Passionfruit Guava Flavored Prebiotic Soda, 12 fl oz",12 fl oz,$1.65
WATERLOO,Grape,8 x 12 fl oz,$4.17
