brand,name,weight,price
FRIENDLY FARMS,"Nonfat Plain Greek Yogurt, 32 oz",32 oz,$3.09
HAPPY FARMS,"Swiss Almond Spreadable Cheese Cup, 12.9 oz",12.9 oz,$2.05
EMPORIUM SELECTION,"Sharp Cheddar Cheese Spread, 6.5 oz",6.5 oz,$2.75
EMPORIUM SELECTION,"Garlic & Herb Gourmet Spreadable Cheese, 6.5 oz",6.5 oz,$2.75
EMPORIUM SELECTION,"Peppercorn Parmesan Cheese Spread, 6.5 oz",6.5 oz,$2.75
BARISSIMO,"Mocha Iced Coffee, 64 fl oz",64 fl oz,$4.29
HAPPY FARMS,"Sharp Cheddar Spreadable Cheese with Almonds, 6 oz",10 oz,$1.29
HAPPY FARMS,"Whipped Cream Cheese Spread, 8 oz",8 oz,$1.99
EMPORIUM SELECTION,"Horseradish Cheddar Cheese Spread, 6.5 oz",6.5 oz,$2.75
HAPPY FARMS,"Port Wine Spreadable Cheese with Almond, 6 oz",10 oz,$1.29
HAPPY FARMS,"Port Wine Spreadable Cheese Cup, 11.7 oz",14 oz,$2.05
HAPPY FARMS,"Sharp Cheddar Spreadable Cheese Cup, 11.7 oz",14 oz,$2.05
SIMPLY NATURE,"Organic Original Unsweetened Almondmilk, 64 fl oz",64 fl oz,$3.75
FRIENDLY FARMS,"Original Coconutmilk, 64 fl oz",64 fl oz,$4.05
EMPORIUM SELECTION,"White Stilton with Mango and Ginger Cheese, 5.3 oz",5.3 oz,$4.19
EMPORIUM SELECTION,"You're Cajun Me Crazy Cajun Spice Cheddar Cheese, 4 oz",4 oz,$2.75
EMPORIUM SELECTION,"Blue Stilton Cheese, 5.3 oz",5.3 oz,$4.19
FRIENDLY FARMS,"Pumpkin Spice Whipped Dairy Topping, 13 oz",13 oz,$3.09
FRIENDLY FARMS,"Maple Vanilla Whipped Dairy Topping, 13 oz",13 oz,$3.09
EMPORIUM SELECTION,"Goat Brie, 7 oz",7 oz,$4.25
EMPORIUM SELECTION,"Truffle Goat Log, 4 oz",4 oz,$4.25
EMPORIUM SELECTION,"Some Like it Hatch Hatch Pepper Cheddar Cheese, 4 oz",4 oz,$2.75
