brand,name,weight,price
APPLETON FARMS,"Spiral Sliced Ham, per lb",9 lb,$19.71
APPLETON FARMS,"Boneless Spiral Sliced Ham, per lb",3.74 lb,$14.77
APPLETON FARMS,Uncured Honey Quarter Boneless Sliced Ham,2.1 lb,$9.43
APPLETON FARMS,"Thick Cut Bacon, 16 oz",16 oz,$4.39
PARK STREET DELI,"BBQ Pulled Chicken, 16 oz",16 oz,$6.39
PARK STREET DELI,"BBQ Pulled Pork, 16 oz",16 oz,$6.39
PRIANO,"Crab Ravioli, 9 oz",9 oz,$3.59
PRIANO,"Lobster Ravioli, 9 oz",9 oz,$3.59
SIMMS,"Thick Cut Pepperoni, 16 oz",16 oz,$7.69
SPECIALLY SELECTED,"Cold Smoked Atlantic Salmon Gravlax, 3 oz",3 oz,$3.89
PILLSBURY,"Ready to Bake Bunny Shaped Cookie Dough, 20 count",9.1 oz,$3.86
MAMA COZZI'S PIZZA KITCHEN,"Pepperoni Pizza Ring with Marinara Dipping Sauce, 11.25 oz",11.25 oz,$4.99
PARK STREET DELI,"Cranberry Jalapeno Dip, 8 oz",8 oz,$3.09
PARK STREET DELI,"Hot Honey Dip, 8 oz",8 oz,$3.09
